AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
125000,2770,8740,145200,38,9,17.5,4,1,rural,2,3,0.1,0,0,3.5,50,74.8,45.9,14.8,1236.9,56
121000,2690,8490,145400,39.6,9,17.5,4,1,rural,2,3,0.1,0,0,3.5,45.6,74.8,45.9,14.8,1236.9,56
21000,690,1820,31000,48.2,0,7.2,16,1,rural,2,3,0.1,0.4,0,3,48.3,78.3,22.7,16.2,1434.9,27
174000,3950,3750,235300,41.6,0,13.5,10,1,urban,2,2,0.2,0,0,4,48.8,76.1,28.6,15.6,1328.6,46
181000,4100,3900,289400,57,0,15.5,10,1,urban,2,2,0.2,0,0,4,61,76.1,28.6,15.6,1328.6,46
181000,4100,3900,246100,35,0,15.5,10,1,urban,2,2,0.1,0,0,4,40,76.1,28.6,15.6,1328.6,45
35000,950,2210,31200,44,0,9,8,1,urban,2,2,0.1,0,0,1.5,49,74.2,49.8,14.6,1219.1,35
13000,430,2190,24500,43.6,0,11.5,7,1,rural,2,3,0.2,0.1,0,1.5,45,73.9,32.8,15.4,1242.1,21
40000,1240,2350,60000,44.6,0,6.5,11,1,small urban,2,2,0.1,0,0,1.5,48.3,73.9,32.8,15.4,1242.1,44
46000,1250,1440,52600,59,0,10,15,1,urban,2,3,0.1,13,0,0,93,74.2,49.8,14.6,1219.1,13
21000,560,640,22600,34.5,0,12.5,15,1,urban,2,3,0.2,0,0,5,45,74.2,49.8,14.6,1219.1,13
25000,580,1060,33000,50.5,0,10,16,1,urban,2,3,0.1,0,0,0,51,74.2,49.8,14.6,1219.1,13
61000,1860,6150,76000,59,0,15.7,7.3,1,urban,2,2,0.1,2,0,2,62.5,73.6,51.1,14.4,1233.2,47
66000,2010,6480,77300,51,9,2.5,4,1,urban,2,2,0.1,0,0,2.5,57,73.6,51.1,14.4,1233.2,52
43000,1250,6120,57800,57.2,9,2.5,4,1,rural,2,2,0.1,0,0,2.5,64.8,73.6,51.1,14.4,1233.2,52
81000,3150,9140,86900,55,14,0,11,1,rural,3,3,0,0,0,0,64,74.2,49.8,14.6,1219.1,4
60000,1830,6460,63100,48.7,11,5.5,5,1,urban,7,5,0.2,4.3,0,1.5,50.5,74.2,49.8,14.6,1219.1,34
62000,1690,4460,90500,46,9,4,4,1,urban,2,3,0.1,0,0,2,60,75.1,39.5,15.1,1277.7,56
50000,1800,3990,68500,111,9,0.5,4,1,rural,6,2,0.1,0,0,2.5,117,75.1,56.1,14.5,1225.7,48
59000,2090,1600,144600,63.5,11.5,0,11,1,urban,3,3,0,0,0,0,64,76.1,28.6,15.6,1328.6,10
